filename,read_type,strand,lane,read_count
24_L1_SRR8581140.sra_1.fastq.gz,raw,forward,1,17751394
24_L1_SRR8581140.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,13850995
24_L1_SRR8581140.sra_2.fastq.gz,raw,forward,1,17751394
24_L1_SRR8581140.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,13850995
25_L1_SRR8581154.sra_1.fastq.gz,raw,forward,1,39797035
25_L1_SRR8581154.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,31240539
25_L1_SRR8581154.sra_2.fastq.gz,raw,forward,1,39797035
25_L1_SRR8581154.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,31240539
26_L1_SRR18328065.sra_1.fastq.gz,raw,forward,1,24108901
26_L1_SRR18328065.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,21766496
26_L1_SRR18328065.sra_2.fastq.gz,raw,forward,1,24108901
26_L1_SRR18328065.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,21766496
26_L2_SRR18328054.sra_1.fastq.gz,raw,forward,2,24609857
26_L2_SRR18328054.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,23173756
26_L2_SRR18328054.sra_2.fastq.gz,raw,forward,2,24609857
26_L2_SRR18328054.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,23173756
27_L1_SRR18328093.sra_1.fastq.gz,raw,forward,1,15186229
27_L1_SRR18328093.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,13664180
27_L1_SRR18328093.sra_2.fastq.gz,raw,forward,1,15186229
27_L1_SRR18328093.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,13664180
27_L2_SRR18328092.sra_1.fastq.gz,raw,forward,2,15509767
27_L2_SRR18328092.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,14560232
27_L2_SRR18328092.sra_2.fastq.gz,raw,forward,2,15509767
27_L2_SRR18328092.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,14560232
28_L1_SRR18328091.sra_1.fastq.gz,raw,forward,1,14365055
28_L1_SRR18328091.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,12971205
28_L1_SRR18328091.sra_2.fastq.gz,raw,forward,1,14365055
28_L1_SRR18328091.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,12971205
28_L2_SRR18328090.sra_1.fastq.gz,raw,forward,2,14691077
28_L2_SRR18328090.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,13830004
28_L2_SRR18328090.sra_2.fastq.gz,raw,forward,2,14691077
28_L2_SRR18328090.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,13830004
29_L1_SRR18328089.sra_1.fastq.gz,raw,forward,1,12752600
29_L1_SRR18328089.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,11314792
29_L1_SRR18328089.sra_2.fastq.gz,raw,forward,1,12752600
29_L1_SRR18328089.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,11314792
29_L2_SRR18328088.sra_1.fastq.gz,raw,forward,2,13032460
29_L2_SRR18328088.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,12065869
29_L2_SRR18328088.sra_2.fastq.gz,raw,forward,2,13032460
29_L2_SRR18328088.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,12065869
3_L1_SRR8581161.sra_1.fastq.gz,raw,forward,1,29159454
3_L1_SRR8581161.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,22892215
3_L1_SRR8581161.sra_2.fastq.gz,raw,forward,1,29159454
3_L1_SRR8581161.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,22892215
30_L1_SRR18328087.sra_1.fastq.gz,raw,forward,1,12290821
30_L1_SRR18328087.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,10955641
30_L1_SRR18328087.sra_2.fastq.gz,raw,forward,1,12290821
30_L1_SRR18328087.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,10955641
30_L2_SRR18328086.sra_1.fastq.gz,raw,forward,2,12540832
30_L2_SRR18328086.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,11653881
30_L2_SRR18328086.sra_2.fastq.gz,raw,forward,2,12540832
30_L2_SRR18328086.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,11653881
31_L1_SRR18328085.sra_1.fastq.gz,raw,forward,1,15574446
31_L1_SRR18328085.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,14211256
31_L1_SRR18328085.sra_2.fastq.gz,raw,forward,1,15574446
31_L1_SRR18328085.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,14211256
31_L2_SRR18328084.sra_1.fastq.gz,raw,forward,2,15947834
31_L2_SRR18328084.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,15166150
31_L2_SRR18328084.sra_2.fastq.gz,raw,forward,2,15947834
